sku,Description,price
BBS-3024,"Barracuda Backup 3024, Protected TB Range 3-12",0.00
BBS-3024-d,"Barracuda Backup 3024, Protected TB Range 3-12 Demo",0.00
BBS-3024-dc,"Barracuda Backup 3024, Protected TB Range 3-12 Demo Conversion",0.00
BBS-3024-PS-1M,"Barracuda Backup 3024, Premium Support, 1 Month",310.00
BBS-3024-TB-1M,"Barracuda Backup 3024, per Terabyte, 1 Month",100.00
BBS-3024-TB-CLD-1M,"Barracuda Backup 3024, per Terabyte, Cloud Storage,1 Month",200.00
BBS-3080,"Barracuda Backup 3080, Protected TB Range 13-40",0.00
BBS-3080-d,"Barracuda Backup 3080, Protected TB Range 13-40 Demo",0.00
BBS-3080-dc,"Barracuda Backup 3080, Protected TB Range 13-40 Demo Conversion",0.00
BBS-3080-PS-1M,"Barracuda Backup 3080, Premium Support, 1 Month",310.00
BBS-3080-TB-1M,"Barracuda Backup 3080, per Terabyte, 1 Month",88.00
BBS-3080-TB-CLD-1M,"Barracuda Backup 3080, per Terabyte, Cloud Storage,1 Month",180.00
BBS-3200,"Barracuda Backup 3200, Protected TB Range 41-100",0.00
BBS-3200-d,"Barracuda Backup 3200, Protected TB Range 41-100 Demo",0.00
BBS-3200-dc,"Barracuda Backup 3200, Protected TB Range 41-100 Demo Conversion",0.00
BBS-3200-PS-1M,"Barracuda Backup 3200, Premium Support, 1 Month",310.00
BBS-3200-TB-1M,"Barracuda Backup 3200, per Terabyte, 1 Month",75.00
BBS-3200-TB-CLD-1M,"Barracuda Backup 3200, per Terabyte, Cloud Storage,1 Month",150.00
BBS1090a-b,Barracuda Backup Server Appliance 1090 Unlimited Cloud Storage Subscription 1 Month,5700.00
BBS1090a-e,Barracuda Backup Server Appliance 1090 Energize Updates Subscription 1 Month,2100.00
BBS1090a-h,Barracuda Backup Server Appliance 1090 Instant Replacement Subscription 1 Month,2700.00
BBS1090a-p,Barracuda Backup Server Appliance 1090 Premium Support Subscription 1 Month,2700.00
BBS1090a-x,Barracuda Backup Server Appliance 1090 Replication to a Virtual Receiver Subscription 1 Month,2500.00
BBS1090a-xa,Barracuda Backup Server Appliance 1090 Replication to AWS Subscription 1 Month,2500.00
BBS1091a,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC,135000.00
BBS1091a-b,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Unlimited Cloud Storage Subscription 1 Month,5700.00
BBS1091a-c,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Cold Spare,94500.00
BBS1091a-d,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Demo,0.00
BBS1091a-dc,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Demo Conversion,135000.00
BBS1091a-e,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Energize Updates Subscription 1 Month,2100.00
BBS1091a-h,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Instant Replacement Subscription 1 Month,2700.00
BBS1091a-p,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Premium Support Subscription 1 Month,2700.00
BBS1091a-x,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Replication to a Virtual Receiver Subscription 1 Month,2500.00
BBS1091a-xa,Barracuda Backup Server 1090 w/ 10 GBE Fiber NIC Replication to AWS Subscription 1 Month,2500.00
BBS1191a,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC,166000.00
BBS1191a-b,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Unlimited Cloud Storage Subscription 1 Month,7100.00
BBS1191a-c,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Cold Spare,116200.00
BBS1191a-d,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Demo,0.00
BBS1191a-dc,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Demo Conversion,166000.00
BBS1191a-e,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Energize Updates Subscription 1 Month,2700.00
BBS1191a-h,Barracuda Backup Server 1191 w/ 10 GBE Fiber NIC Instant Replacement Subscription 1 Month,3200.00
