sku,Description,price
02-SSC-0965,SONICWALL ZERO TOUCH DEPLOYMENT (10 OR MORE UNITS),100.00
02-SSC-2853,Capture Security Appliance CSa 1000,29995.00
02-SSC-5637,Capture Security Appliance CSa 1000 with Intelligence Updates and Support Bundle - 1 Year,33994.00
02-SSC-5638,Capture Security Appliance CSa 1000 with Intelligence Updates and Support Bundle - 3 Years,46591.00
02-SSC-5639,Capture Security Appliance CSa 1000 with Intelligence Updates and Support Bundle - 5 Years,60989.00
02-SSC-4712,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 1YR",8999.00
02-SSC-4713,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 2YR",16197.00
02-SSC-4714,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 3YR",21596.00
02-SSC-4715,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 4YR",28795.00
02-SSC-4716,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 5YR",35994.00
02-SSC-4717,"Intelligence Updates, Activation and Support for SonicWall CSa 1000 6YR",43193.00
02-SSC-4706,REST API Activation for SonicWall Capture Appliance CSa 1000 1YR,3000.00
02-SSC-4707,REST API Activation for SonicWall Capture Appliance CSa 1000 2YR,5399.00
02-SSC-4708,REST API Activation for SonicWall Capture Appliance CSa 1000 3YR,7199.00
02-SSC-4709,REST API Activation for SonicWall Capture Appliance CSa 1000 4YR,9598.00
02-SSC-4710,REST API Activation for SonicWall Capture Appliance CSa 1000 5YR,11998.00
02-SSC-4711,REST API Activation for SonicWall Capture Appliance CSa 1000 6YR,14398.00
02-SSC-2722,SONICWALL NSSP 15700,135520.00
02-SSC-6000,SONICWALL NSSP 15700 HIGH AVAILABILITY,135520.00
02-SSC-4764,SONICWALL NSSP 15700 TOTALSECURE - ESSENTIAL EDITION 1YR,255025.00
02-SSC-4739,ESSENTIAL PROTECTION SERVICE SUITE BUNDLE FOR NSSP 15700 1YR,126675.30
02-SSC-4740,ESSENTIAL PROTECTION SERVICE SUITE BUNDLE FOR NSSP 15700 3YR,287562.10
02-SSC-4741,ESSENTIAL PROTECTION SERVICE SUITE BUNDLE FOR NSSP 15700 5YR,471435.00
02-SSC-4745,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 15700 1YR,22986.10
02-SSC-4746,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 15700 3YR,55162.40
02-SSC-4747,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 15700 5YR,91939.10
02-SSC-4751,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 15700 1YR,40221.70
02-SSC-4752,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 15700 3YR,96528.90
02-SSC-4753,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 15700 5YR,160886.80
02-SSC-4757,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 15700 1YR",40221.70
02-SSC-4758,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 15700 3YR",96528.90
02-SSC-4759,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 15700 5YR",160886.80
02-SSC-4733,24X7 SUPPORT FOR NSSP 15700 1YR,35912.80
02-SSC-4734,24X7 SUPPORT FOR NSSP 15700 3YR,86188.60
02-SSC-4735,24X7 SUPPORT FOR NSSP 15700 5YR,143651.20
02-SSC-8401,SONICWALL NSSP 13700,58910.00
02-SSC-9068,SONICWALL NSSP 13700 HIGH AVAILABILITY,58910.00
02-SSC-9622,SONICWALL NSSP 13700 TOTAL SECURE - ADVANCED EDITION 1YR,102105.00
02-SSC-9628,SONICWALL NSSP 13700 TOTAL SECURE - ESSENTIAL EDITION 1YR,97685.00
02-SSC-9370,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 13700 1YR,49952.50
02-SSC-9371,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 13700 2YR,89919.80
02-SSC-9372,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 13700 3YR,127385.50
02-SSC-9373,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 13700 4YR,169843.80
02-SSC-9374,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 13700 5YR,212307.40
02-SSC-9365,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 13700 1YR,45580.00
02-SSC-9366,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 13700 2YR,82049.30
02-SSC-9367,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 13700 3YR,116239.60
02-SSC-9368,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 13700 4YR,154982.60
02-SSC-9369,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 13700 5YR,193725.60
02-SSC-9340,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 13700 1YR,15613.80
02-SSC-9341,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 13700 2YR,28105.90
02-SSC-9342,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 13700 3YR,42145.60
02-SSC-9343,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 13700 4YR,56195.90
02-SSC-9344,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 13700 5YR,70251.50
02-SSC-9350,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 13700 1YR,17484.70
02-SSC-9351,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 13700 2YR,31466.10
02-SSC-9352,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 13700 3YR,47212.40
02-SSC-9353,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 13700 4YR,62942.80
02-SSC-9354,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 13700 5YR,78678.50
02-SSC-9355,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 1YR",18735.50
02-SSC-9356,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 2YR",33718.60
02-SSC-9357,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 3YR",50577.90
02-SSC-9358,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 4YR",67442.50
02-SSC-9359,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 5YR",84301.80
02-SSC-9345,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 1YR,12486.80
02-SSC-9346,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 2YR,22482.60
02-SSC-9347,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 3YR,33718.60
02-SSC-9348,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 4YR,44954.60
02-SSC-9349,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 5YR,56195.90
02-SSC-9335,24X7 SUPPORT FOR NSSP 13700 1YR,14368.30
02-SSC-9336,24X7 SUPPORT FOR NSSP 13700 2YR,25848.10
02-SSC-9337,24X7 SUPPORT FOR NSSP 13700 3YR,38774.80
02-SSC-9338,24X7 SUPPORT FOR NSSP 13700 4YR,51696.20
02-SSC-9339,24X7 SUPPORT FOR NSSP 13700 5YR,64633.50
02-SSC-9360,STANDARD SUPPORT FOR NSSP 13700 1YR,10615.90
02-SSC-9361,STANDARD SUPPORT FOR NSSP 13700 2YR,19106.50
02-SSC-9362,STANDARD SUPPORT FOR NSSP 13700 3YR,28657.10
02-SSC-9363,STANDARD SUPPORT FOR NSSP 13700 4YR,38218.30
02-SSC-9364,STANDARD SUPPORT FOR NSSP 13700 5YR,47768.90
02-SSC-9375,DNS FILTERING SERVICE FOR NSSP 13700 1YR,10615.90
02-SSC-9376,DNS FILTERING SERVICE FOR NSSP 13700 2YR,19107.56
02-SSC-9377,DNS FILTERING SERVICE FOR NSSP 13700 3YR,30782.40
02-SSC-9378,DNS FILTERING SERVICE FOR NSSP 13700 4YR,38216.18
02-SSC-9379,DNS FILTERING SERVICE FOR NSSP 13700 5YR,47769.96
02-SSC-8399,SONICWALL NSSP 11700,48295.00
02-SSC-1719,SONICWALL NSSP 11700 HIGH AVAILABILITY,48295.00
02-SSC-3680,SONICWALL NSSP 11700 TOTAL SECURE - ADVANCED EDITION 1YR,86710.00
02-SSC-3679,SONICWALL NSSP 11700 TOTAL SECURE - ESSENTIAL EDITION 1YR,82985.00
02-SSC-1553,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 1YR,40953.10
